description,category
Starbucks,Food & Dining
STARBUCKS,Food & Dining
starbucks,Food & Dining
McDonald's,Food & Dining
MCDONALD'S,Food & Dining
mcdonald's,Food & Dining
Domino's Pizza,Food & Dining
DOMINO'S PIZZA,Food & Dining
domino's pizza,Food & Dining
Chipotle,Food & Dining
CHIPOTLE,Food & Dining
chipotle,Food & Dining
Subway,Food & Dining
SUBWAY,Food & Dining
subway,Food & Dining
Dunkin Donuts,Food & Dining
DUNKIN DONUTS,Food & Dining
dunkin donuts,Food & Dining
Pizza Hut,Food & Dining
PIZZA HUT,Food & Dining
pizza hut,Food & Dining
KFC,Food & Dining
KFC,Food & Dining
kfc,Food & Dining
Taco Bell,Food & Dining
TACO BELL,Food & Dining
taco bell,Food & Dining
Panera Bread,Food & Dining
PANERA BREAD,Food & Dining
panera bread,Food & Dining
Thai Restaurant,Food & Dining
THAI RESTAURANT,Food & Dining
thai restaurant,Food & Dining
Italian Bistro,Food & Dining
ITALIAN BISTRO,Food & Dining
italian bistro,Food & Dining
Sushi Bar,Food & Dining
SUSHI BAR,Food & Dining
sushi bar,Food & Dining
Chinese Takeaway,Food & Dining
CHINESE TAKEAWAY,Food & Dining
chinese takeaway,Food & Dining
Indian Curry House,Food & Dining
INDIAN CURRY HOUSE,Food & Dining
indian curry house,Food & Dining
Burger King,Food & Dining
BURGER KING,Food & Dining
burger king,Food & Dining
Wendy's,Food & Dining
WENDY'S,Food & Dining
wendy's,Food & Dining
Panda Express,Food & Dining
PANDA EXPRESS,Food & Dining
panda express,Food & Dining
Five Guys,Food & Dining
FIVE GUYS,Food & Dining
five guys,Food & Dining
Olive Garden,Food & Dining
OLIVE GARDEN,Food & Dining
olive garden,Food & Dining
Restaurant,Food & Dining
RESTAURANT,Food & Dining
restaurant,Food & Dining
Coffee Shop,Food & Dining
COFFEE SHOP,Food & Dining
coffee shop,Food & Dining
Bakery,Food & Dining
BAKERY,Food & Dining
bakery,Food & Dining
Ice Cream,Food & Dining
ICE CREAM,Food & Dining
ice cream,Food & Dining
Smoothie King,Food & Dining
SMOOTHIE KING,Food & Dining
smoothie king,Food & Dining
Breakfast Diner,Food & Dining
BREAKFAST DINER,Food & Dining
breakfast diner,Food & Dining
Lunch Cafe,Food & Dining
LUNCH CAFE,Food & Dining
lunch cafe,Food & Dining
Food Court,Food & Dining
FOOD COURT,Food & Dining
food court,Food & Dining
Doordash,Food & Dining
DOORDASH,Food & Dining
doordash,Food & Dining
Uber Eats,Food & Dining
UBER EATS,Food & Dining
uber eats,Food & Dining
Grubhub,Food & Dining
GRUBHUB,Food & Dining
grubhub,Food & Dining
Zomato,Food & Dining
ZOMATO,Food & Dining
zomato,Food & Dining
Swiggy,Food & Dining
SWIGGY,Food & Dining
swiggy,Food & Dining
Peet's Coffee,Food & Dining
PEET'S COFFEE,Food & Dining
peet's coffee,Food & Dining
Shake Shack,Food & Dining
SHAKE SHACK,Food & Dining
shake shack,Food & Dining
In-N-Out,Food & Dining
IN-N-OUT,Food & Dining
in-n-out,Food & Dining
Chick-fil-A,Food & Dining
CHICK-FIL-A,Food & Dining
chick-fil-a,Food & Dining
Sweetgreen,Food & Dining
SWEETGREEN,Food & Dining
sweetgreen,Food & Dining
Cava,Food & Dining
CAVA,Food & Dining
cava,Food & Dining
Local diner,Food & Dining
LOCAL DINER,Food & Dining
local diner,Food & Dining
Food truck,Food & Dining
FOOD TRUCK,Food & Dining
food truck,Food & Dining
Papa Johns,Food & Dining
PAPA JOHNS,Food & Dining
papa johns,Food & Dining
Jersey Mikes,Food & Dining
JERSEY MIKES,Food & Dining
jersey mikes,Food & Dining
Jimmy Johns,Food & Dining
JIMMY JOHNS,Food & Dining
jimmy johns,Food & Dining
Sweet frog,Food & Dining
SWEET FROG,Food & Dining
sweet frog,Food & Dining
Cold Stone,Food & Dining
COLD STONE,Food & Dining
cold stone,Food & Dining
Uber,Transportation
UBER,Transportation
uber,Transportation
Lyft,Transportation
LYFT,Transportation
lyft,Transportation
Shell,Transportation
SHELL,Transportation
shell,Transportation
BP Fuel,Transportation
BP FUEL,Transportation
bp fuel,Transportation
Chevron,Transportation
CHEVRON,Transportation
chevron,Transportation
Exxon,Transportation
EXXON,Transportation
exxon,Transportation
Parking,Transportation
PARKING,Transportation
parking,Transportation
Toll,Transportation
TOLL,Transportation
toll,Transportation
Bus Pass,Transportation
BUS PASS,Transportation
bus pass,Transportation
Metro,Transportation
METRO,Transportation
metro,Transportation
Train Ticket,Transportation
TRAIN TICKET,Transportation
train ticket,Transportation
Taxi,Transportation
TAXI,Transportation
taxi,Transportation
Car Wash,Transportation
CAR WASH,Transportation
car wash,Transportation
Oil Change,Transportation
OIL CHANGE,Transportation
oil change,Transportation
Firestone,Transportation
FIRESTONE,Transportation
firestone,Transportation
Geico,Transportation
GEICO,Transportation
geico,Transportation
DMV,Transportation
DMV,Transportation
dmv,Transportation
Auto Repair,Transportation
AUTO REPAIR,Transportation
auto repair,Transportation
Brake Service,Transportation
BRAKE SERVICE,Transportation
brake service,Transportation
Car Battery,Transportation
CAR BATTERY,Transportation
car battery,Transportation
Parking Meter,Transportation
PARKING METER,Transportation
parking meter,Transportation
Airport Parking,Transportation
AIRPORT PARKING,Transportation
airport parking,Transportation
Uber Pool,Transportation
UBER POOL,Transportation
uber pool,Transportation
Lyft Shared,Transportation
LYFT SHARED,Transportation
lyft shared,Transportation
Ola,Transportation
OLA,Transportation
ola,Transportation
Rapido,Transportation
RAPIDO,Transportation
rapido,Transportation
Metro Rail,Transportation
METRO RAIL,Transportation
metro rail,Transportation
Railway,Transportation
RAILWAY,Transportation
railway,Transportation
Flight Booking,Transportation
FLIGHT BOOKING,Transportation
flight booking,Transportation
Car Rental,Transportation
CAR RENTAL,Transportation
car rental,Transportation
Amtrak,Transportation
AMTRAK,Transportation
amtrak,Transportation
MTA,Transportation
MTA,Transportation
mta,Transportation
BART,Transportation
BART,Transportation
bart,Transportation
Sunoco,Transportation
SUNOCO,Transportation
sunoco,Transportation
Speedway,Transportation
SPEEDWAY,Transportation
speedway,Transportation
Valvoline,Transportation
VALVOLINE,Transportation
valvoline,Transportation
Wawa Gas,Transportation
WAWA GAS,Transportation
wawa gas,Transportation
QuikTrip,Transportation
QUIKTRIP,Transportation
quiktrip,Transportation
Marathon Gas,Transportation
MARATHON GAS,Transportation
marathon gas,Transportation
Mobil,Transportation
MOBIL,Transportation
mobil,Transportation
Texaco,Transportation
TEXACO,Transportation
texaco,Transportation
Progressive,Transportation
PROGRESSIVE,Transportation
progressive,Transportation
State Farm,Transportation
STATE FARM,Transportation
state farm,Transportation
Amazon,Shopping
AMAZON,Shopping
amazon,Shopping
Walmart,Shopping
WALMART,Shopping
walmart,Shopping
Target,Shopping
TARGET,Shopping
target,Shopping
Best Buy,Shopping
BEST BUY,Shopping
best buy,Shopping
Apple Store,Shopping
APPLE STORE,Shopping
apple store,Shopping
Nike,Shopping
NIKE,Shopping
nike,Shopping
Zara,Shopping
ZARA,Shopping
zara,Shopping
H&M,Shopping
H&M,Shopping
h&m,Shopping
IKEA,Shopping
IKEA,Shopping
ikea,Shopping
Home Depot,Shopping
HOME DEPOT,Shopping
home depot,Shopping
Costco,Shopping
COSTCO,Shopping
costco,Shopping
Nordstrom,Shopping
NORDSTROM,Shopping
nordstrom,Shopping
Macy's,Shopping
MACY'S,Shopping
macy's,Shopping
Forever 21,Shopping
FOREVER 21,Shopping
forever 21,Shopping
Gap,Shopping
GAP,Shopping
gap,Shopping
Adidas,Shopping
ADIDAS,Shopping
adidas,Shopping
Under Armour,Shopping
UNDER ARMOUR,Shopping
under armour,Shopping
Lowe's,Shopping
LOWE'S,Shopping
lowe's,Shopping
Bed Bath Beyond,Shopping
BED BATH BEYOND,Shopping
bed bath beyond,Shopping
Wayfair,Shopping
WAYFAIR,Shopping
wayfair,Shopping
Etsy,Shopping
ETSY,Shopping
etsy,Shopping
eBay,Shopping
EBAY,Shopping
ebay,Shopping
Flipkart,Shopping
FLIPKART,Shopping
flipkart,Shopping
Myntra,Shopping
